hours_slept,sleep_quality,exercise_hours,caffeine,stress_level,screen_time,energy_score
4.58,8.57,1.31,0,8.75,9.01,17.89
8.32,9.23,1.57,0,5.82,5.34,63.55
7.12,5.37,1.74,4,2.66,5.7,47.72
5.65,5.63,1.14,4,3.7,9.92,26.94
4.32,3.66,1.57,3,3.79,2.0,23.53
5.55,7.05,1.46,2,4.58,3.48,42.18
5.63,3.25,2.25,0,4.84,5.07,29.17
7.65,6.26,0.11,2,8.2,9.46,30.34
7.19,6.8,0.7,2,4.14,2.56,57.07
8.44,5.01,2.38,4,5.21,2.08,57.96
6.36,7.14,2.23,3,6.62,2.42,40.94
4.6,3.21,1.14,1,4.4,2.71,26.9
7.57,3.26,1.55,3,8.53,2.3,34.21
7.8,8.76,0.69,3,6.29,5.84,56.78
6.81,5.52,0.47,2,3.65,6.65,46.39
7.85,3.89,1.16,3,7.43,4.17,32.83
6.47,6.66,0.88,0,5.75,5.19,44.57
6.61,8.39,1.46,2,5.81,2.73,54.65
6.14,4.51,0.19,0,5.33,4.69,35.54
4.13,7.36,2.44,1,5.47,6.18,28.15
4.54,3.6,2.47,2,7.89,7.86,17.29
4.16,3.36,1.75,1,1.93,2.03,34.81
7.18,6.72,1.34,2,4.01,5.74,56.41
5.57,6.78,0.77,4,1.68,4.38,49.36
6.54,7.46,2.03,3,7.78,8.82,34.08
8.54,8.08,1.71,4,3.45,7.72,59.76
5.25,9.83,0.41,1,9.08,6.71,28.66
6.05,6.61,2.28,3,5.74,4.22,39.55
7.78,5.26,2.06,2,8.21,9.28,30.15
5.14,8.57,2.37,3,9.81,2.36,32.43
4.38,4.9,1.81,0,8.56,2.88,23.72
5.45,6.07,1.53,3,8.8,5.13,21.42
4.81,3.55,1.05,0,4.67,3.0,34.36
8.65,3.18,2.33,3,5.97,9.65,34.69
8.04,9.74,2.17,0,3.28,8.38,70.56
7.17,8.85,0.11,1,2.77,4.07,66.56
8.36,7.87,0.07,4,5.55,6.71,50.92
8.02,5.86,0.94,2,6.36,9.86,39.19
4.93,4.21,2.03,3,4.05,9.07,25.58
8.46,4.1,2.47,4,6.12,6.81,45.39
6.7,4.75,0.38,2,8.99,9.23,13.09
8.04,6.84,1.49,2,6.01,9.91,42.33
8.48,8.0,0.95,0,7.49,7.95,50.85
5.59,7.62,2.42,1,8.25,2.52,33.21
4.55,4.96,2.11,1,9.9,5.21,11.0
5.14,9.68,2.1,4,6.43,8.7,28.85
6.14,8.17,1.17,1,8.26,3.84,37.13
8.09,6.88,1.04,3,9.66,8.65,33.38
8.3,7.28,0.68,1,9.5,2.96,48.45
4.03,5.94,0.14,4,2.27,2.38,31.69
6.55,4.73,2.16,1,4.66,5.07,43.33
6.09,5.49,2.03,3,3.92,2.29,46.11
5.11,8.3,2.5,0,1.78,9.66,48.95
4.6,3.1,2.49,4,6.7,8.61,12.09
5.69,3.81,1.39,0,7.62,8.41,20.86
8.71,3.32,1.92,0,8.63,7.04,47.67
5.62,3.29,2.36,0,2.1,3.73,43.02
6.59,8.99,2.12,2,8.89,6.15,47.27
7.52,7.93,0.62,2,6.79,6.78,46.33
5.82,6.32,1.13,0,7.34,6.2,30.38
8.86,3.68,0.32,4,9.2,4.08,34.88
8.81,6.44,2.39,3,6.62,6.12,58.26
5.26,6.31,1.52,3,4.02,5.93,39.75
6.49,4.21,0.57,1,8.43,9.97,19.75
5.5,6.04,1.68,4,4.27,9.18,32.83
5.42,5.79,1.55,2,1.31,5.71,40.11
4.18,7.31,0.9,0,8.48,6.98,12.47
7.05,7.45,0.28,1,4.11,7.98,50.68
6.51,3.32,1.68,3,7.96,2.28,28.21
4.26,5.62,1.3,2,4.26,9.16,22.98
5.39,7.38,1.93,2,8.75,8.88,20.04
8.54,6.52,1.3,0,2.98,5.66,69.51
5.2,9.0,2.13,3,9.77,5.13,23.0
4.72,7.61,1.38,4,8.02,4.18,20.18
6.45,4.14,1.4,2,2.03,5.81,47.89
8.93,3.49,2.19,0,6.09,2.36,47.72
5.21,7.5,1.01,4,9.87,8.82,15.28
7.36,3.19,0.34,3,5.24,2.28,39.29
7.81,7.1,0.07,2,2.64,4.63,57.03
5.19,9.58,1.89,4,5.36,9.45,33.97
7.64,7.03,1.55,4,5.61,7.88,42.47
5.84,5.72,1.76,4,7.68,4.25,32.77
7.16,7.5,0.53,2,7.29,4.02,49.22
7.17,6.21,0.34,2,4.62,2.04,48.49
6.68,6.82,0.04,1,2.96,7.57,46.87
4.45,9.59,0.88,3,6.81,2.39,30.71
8.18,5.7,1.47,0,4.8,6.26,56.74
5.6,9.73,0.98,4,2.19,9.7,48.4
4.93,9.34,1.09,1,9.11,2.88,31.21
4.2,4.37,2.26,0,7.22,9.16,11.71
6.95,3.49,0.87,1,7.15,9.93,23.25
7.39,3.71,1.28,2,8.4,2.49,29.6
4.08,3.13,1.96,4,5.77,9.06,11.62
6.56,3.66,0.99,0,8.34,6.13,22.39
5.13,7.78,1.56,0,5.48,9.25,29.77
7.23,3.5,2.16,0,1.6,6.57,50.27
4.87,5.23,2.37,0,4.65,7.3,32.65
7.45,8.91,0.37,0,5.48,6.35,51.93
5.93,3.16,2.32,1,7.48,8.92,12.98
8.68,8.7,1.23,4,1.96,7.87,65.0
4.69,4.97,0.65,2,2.26,6.17,32.26
5.71,3.83,1.15,2,3.37,8.95,34.75
4.57,7.88,2.45,2,3.4,3.96,38.58
8.62,7.4,1.23,2,7.59,3.26,51.49
8.39,9.14,0.82,1,3.26,3.28,67.55
5.29,8.15,1.58,3,6.7,4.67,29.62
7.3,8.62,0.6,4,5.45,3.91,55.58
8.09,4.97,0.19,0,6.16,9.44,43.75
6.78,4.24,0.32,3,8.54,2.85,28.44
6.65,8.25,0.32,2,4.64,7.59,43.23
5.21,8.65,0.38,3,7.94,3.51,36.46
4.47,9.93,0.35,4,4.8,9.05,30.3
8.49,5.89,1.6,0,4.18,9.69,56.45
8.5,5.6,0.45,0,9.63,5.72,38.22
7.17,8.43,0.86,4,2.66,9.03,51.8
5.7,5.39,2.24,4,1.81,2.04,44.29
5.75,9.52,1.18,2,7.94,8.56,34.37
7.63,9.01,1.67,0,1.61,3.83,73.76
8.49,6.0,0.43,3,8.53,9.27,33.08
8.44,8.26,0.48,1,4.93,2.01,63.32
7.9,8.28,0.1,1,9.24,6.45,46.8
